date,cities,pct_chng_feb_1
2020-02-13,Leeds,1.13
2020-02-13,Luton,-1.68
2020-02-13,Stoke,0.34
2020-02-13,Wigan,-0.44
2020-02-13,Dundee,0.66
2020-02-13,Exeter,3.4
2020-02-13,London,1.21
2020-02-13,Oxford,1.41
2020-02-13,Slough,1.78
2020-02-13,Belfast,-0.38
2020-02-13,Bristol,0.38
2020-02-13,Burnley,-4.68
2020-02-13,Cardiff,1.68
2020-02-13,Chatham,1.22
2020-02-13,Crawley,1.34
2020-02-13,Glasgow,3.09
2020-02-13,Ipswich,-0.9
2020-02-13,Newport,0.3
2020-02-13,Norwich,-1.2
2020-02-13,Preston,2.09
2020-02-13,Reading,-0.48
2020-02-13,Swansea,-0.67
2020-02-13,Swindon,3.58
2020-02-13,Telford,5.45
2020-02-13,Aberdeen,3.47
2020-02-13,Barnsley,-1.79
2020-02-13,Basildon,-5.61
2020-02-13,Bradford,8.2
2020-02-13,Brighton,0.92
2020-02-13,Coventry,2.42
2020-02-13,Plymouth,4.18
2020-02-13,Southend,-2.25
2020-02-13,Worthing,3.7
2020-02-13,Aldershot,-0.55
2020-02-13,Blackburn,-4.41
2020-02-13,Blackpool,-0.5
2020-02-13,Cambridge,-2.07
2020-02-13,Doncaster,1.81
2020-02-13,Edinburgh,0.43
2020-02-13,Leicester,-2.3
2020-02-13,Liverpool,4.15
2020-02-13,Mansfield,0.12
2020-02-13,Newcastle,2.16
2020-02-13,Sheffield,0.24
2020-02-13,Wakefield,2.45
2020-02-13,Birkenhead,3.07
2020-02-13,Birmingham,5.82
2020-02-13,Gloucester,3.84
2020-02-13,Manchester,1.2
2020-02-13,Nottingham,-1.63
2020-02-13,Portsmouth,0.38
2020-02-13,Sunderland,5.69
2020-02-13,Warrington,0.65
2020-02-13,Bournemouth,-0.19
2020-02-13,Northampton,1.29
2020-02-13,Southampton,-0
2020-02-13,Huddersfield,-1.79
2020-02-13,Peterborough,-0.31
2020-02-13,Middlesbrough,-2.74
2020-02-13,Milton Keynes,1.8
2020-02-14,Hull,2.58
2020-02-14,York,2.15
2020-02-14,Derby,3.3
2020-02-14,Leeds,1.29
2020-02-14,Luton,-2.6
2020-02-14,Stoke,0.4
2020-02-14,Wigan,-0.64
2020-02-14,Dundee,1.98
2020-02-14,Exeter,3.73
2020-02-14,London,1.24
2020-02-14,Oxford,1.5
2020-02-14,Slough,2.13
2020-02-14,Belfast,-0.44
2020-02-14,Bristol,0.3
2020-02-14,Burnley,-5.41
2020-02-14,Cardiff,1.52
2020-02-14,Chatham,1.45
2020-02-14,Crawley,1.92
2020-02-14,Glasgow,3.46
2020-02-14,Ipswich,-0.89
2020-02-14,Newport,0.31
2020-02-14,Norwich,-1.33
2020-02-14,Preston,2.85
2020-02-14,Reading,-0.63
2020-02-14,Swansea,-0.42
2020-02-14,Swindon,3.46
