date,CBSA Title,cbsa_code,pct_chng_feb_1
2020-02-03,"Tulsa, OK",46140,0.316822879423539
2020-02-03,"Greenville-Anderson, SC",24860,-0.052362871662559
2020-02-04,"Riverside-San Bernardino-Ontario, CA",40140,-0.218452311001338
2020-02-04,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,0.215762455496415
2020-02-04,"Raleigh-Cary, NC",39580,-0.926947152023139
2020-02-04,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,0.373356018174853
2020-02-04,"Birmingham-Hoover, AL",13820,0.208291275196704
2020-02-04,"Cape Coral-Fort Myers, FL",15980,0.600550421649748
2020-02-04,"Omaha-Council Bluffs, NE-IA",36540,-0.0873445309760412
2020-02-04,"Columbia, SC",17900,-0.32827769548216
2020-02-04,"McAllen-Edinburg-Mission, TX",32580,-0.543930795384318
2020-02-04,"Tucson, AZ",46060,0.130523001838578
2020-02-04,"Madison, WI",31540,0.950578663895985
2020-02-04,"Providence-Warwick, RI-MA",39300,0.478527747088142
2020-02-04,"Albuquerque, NM",10740,0.382857391518976
2020-02-04,"Syracuse, NY",45060,0.588246248211632
2020-02-04,"Little Rock-North Little Rock-Conway, AR",30780,0.446160556262631
2020-02-04,"Greensboro-High Point, NC",24660,-0.497295016042698
2020-02-04,"Knoxville, TN",28940,0.308507366058386
2020-02-04,"Oklahoma City, OK",36420,0.423521086307854
2020-02-04,"Bridgeport-Stamford-Norwalk, CT",14860,0.291334074397898
2020-02-04,"Baltimore-Columbia-Towson, MD",12580,0.30843489515473
2020-02-04,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,0.130035693492858
2020-02-04,"San Diego-Chula Vista-Carlsbad, CA",41740,-0.0206582957862467
2020-02-04,"Seattle-Tacoma-Bellevue, WA",42660,-0.00259461500586866
2020-02-04,"Lansing-East Lansing, MI",29620,0.819806417952385
2020-02-04,"Ogden-Clearfield, UT",36260,0.577135540202822
2020-02-04,"Colorado Springs, CO",17820,0.966912263479269
2020-02-04,"North Port-Sarasota-Bradenton, FL",35840,-0.479477173826837
2020-02-04,"Boston-Cambridge-Newton, MA-NH",14460,0.0906417851832986
2020-02-04,"Tulsa, OK",46140,0.372235081361194
2020-02-04,"New Orleans-Metairie, LA",35380,0.800961364392649
2020-02-04,"Orlando-Kissimmee-Sanford, FL",36740,0.103837961380959
2020-02-04,"Bakersfield, CA",12540,0.657028546120952
2020-02-04,"Denver-Aurora-Lakewood, CO",19740,0.156124386212597
2020-02-04,"New York-Newark-Jersey City, NY-NJ-PA",35620,0.0119014763039882
2020-02-04,"Chicago-Naperville-Elgin, IL-IN-WI",16980,0.310212404661181
2020-02-04,"Sacramento-Roseville-Folsom, CA",40900,0.631559221443823
2020-02-04,"Boise City, ID",14260,-0.589746308828143
